id,client.bytes,network.bytes,numbers_in_hostname,hostname_entropy,alexa_1m_rating
75,56.0,260,0,3.76,9999999
76,40.0,139,0,3.45,9999999
77,40.0,139,0,3.45,9999999
78,46.0,140,0,3.34,9999999
79,30.0,144,0,3.25,9999999
80,33.0,109,0,3.06,9999999
83,43.0,170,0,3.52,9999999
84,43.0,214,0,3.52,9999999
85,32.0,148,0,3.52,9999999
86,32.0,192,0,3.52,9999999
89,54.0,138,0,3.45,9999999
90,43.0,116,0,3.45,9999999
91,31.0,243,0,3.55,9999999
92,93.0,245,23,4.52,9999999
93,82.0,223,23,4.52,9999999
94,47.0,219,0,3.61,9999999
95,41.0,236,0,3.32,9999999
96,39.0,358,0,3.59,9999999
97,42.0,147,0,3.69,9999999
98,39.0,141,0,3.78,9999999
99,42.0,147,0,3.57,9999999
100,,99,0,3.53,9999999
101,,100,0,3.58,9999999
102,,107,0,3.77,9999999
103,,96,0,3.32,9999999
104,,99,0,3.57,9999999
105,,99,0,3.57,9999999
106,62.0,487,0,3.76,9999999
107,50.0,132,4,3.69,9999999
108,38.0,188,0,3.35,9999999
109,65.0,185,2,4.16,9999999
110,33.0,168,0,3.64,9999999
111,36.0,200,0,3.46,9999999
112,55.0,225,0,3.87,9999999
113,44.0,203,0,3.87,9999999
114,35.0,86,0,3.13,9999999
115,49.0,316,0,3.68,9999999
116,38.0,185,0,3.68,9999999
117,54.0,231,2,3.78,9999999
118,43.0,209,2,3.78,9999999
119,35.0,86,0,3.13,9999999
120,33.0,129,0,3.32,9999999
121,49.0,226,1,3.68,9999999
122,49.0,182,1,3.68,9999999
123,43.0,102,0,3.64,9999999
124,38.0,204,1,3.68,9999999
125,38.0,160,1,3.68,9999999
126,54.0,172,0,3.6,9999999
127,43.0,150,0,3.6,9999999
128,33.0,129,0,3.32,9999999
129,34.0,84,0,3.45,9999999
130,78.0,172,2,3.95,9999999
131,35.0,204,0,3.26,9999999
132,45.0,174,1,3.16,9999999
133,34.0,152,1,3.16,9999999
134,33.0,129,0,3.32,9999999
135,57.0,234,0,3.72,9999999
136,46.0,212,0,3.72,9999999
137,33.0,82,0,3.51,9999999
138,74.0,221,0,3.75,9999999
139,48.0,225,0,3.58,9999999
140,38.0,124,1,2.95,9999999
141,27.0,102,1,2.95,9999999
142,63.0,142,0,3.86,9999999
143,40.0,173,0,3.91,9999999
144,33.0,129,2,3.46,9999999
145,33.0,129,2,3.46,9999999
146,22.0,44,2,2.0,9999999
147,22.0,44,2,2.0,9999999
148,22.0,44,2,2.0,9999999
149,22.0,44,2,2.0,9999999
150,76.0,185,1,3.83,9999999
151,60.0,214,1,4.05,9999999
152,48.0,128,5,3.22,9999999
153,57.0,176,2,3.93,9999999
154,48.0,144,0,3.2,9999999
155,37.0,122,0,3.2,9999999
156,42.0,147,0,3.66,9999999
157,38.0,178,0,3.82,9999999
158,53.0,154,0,3.69,9999999
159,39.0,182,1,3.92,9999999
160,38.0,162,0,4.02,9999999
161,53.0,138,0,3.89,9999999
162,34.0,127,0,3.38,9999999
163,41.0,218,0,3.24,9999999
164,41.0,218,0,3.24,9999999
165,40.0,181,0,2.91,9999999
166,29.0,159,0,2.91,9999999
167,39.0,130,5,3.75,9999999
168,44.0,104,0,2.79,9999999
169,44.0,104,0,2.79,9999999
170,34.0,113,0,3.16,9999999
171,35.0,161,0,3.73,9999999
172,29.0,74,1,3.28,9999999
173,47.0,110,0,3.68,9999999
174,36.0,88,0,3.68,9999999
175,42.0,148,0,3.27,9999999
176,37.0,137,2,3.75,9999999
177,37.0,137,2,3.75,9999999
178,26.0,52,2,2.41,9999999
179,26.0,52,2,2.41,9999999
180,,96,0,3.32,9999999
181,26.0,52,2,2.41,9999999
182,26.0,52,2,2.41,9999999
183,46.0,295,0,3.22,9999999
184,41.0,218,0,3.24,9999999
185,42.0,42,0,3.69,9999999
186,42.0,42,0,3.57,9999999
187,39.0,39,0,3.78,9999999
188,33.0,129,0,3.32,9999999
189,33.0,129,0,3.32,9999999
190,30.0,380,1,3.42,9999999
191,34.0,84,0,3.45,9999999
