id,@timestamp,bytes_in,client.bytes,destination.ip,dns.question.name,dns.response_code,dns.type,network.bytes,source.ip,status,client.port,destination.port,dns.flags.authentic_data,dns.id,dns.answers.data
181,2021-11-17T15:06:22.324Z,26.0,26.0,192.168.57.253,ubuntu16,SERVFAIL,answer,52,192.168.57.23,Error,33426,53,False,20331,
182,2021-11-17T15:06:22.324Z,26.0,26.0,192.168.57.253,ubuntu16,SERVFAIL,answer,52,192.168.57.23,Error,33426,53,False,18822,
183,2021-11-17T15:06:22.323Z,46.0,46.0,200.32.10.123,mab.chartbeat.com,NOERROR,answer,295,192.168.57.253,OK,60954,53,False,43397,"[dualstack.f6.shared.global.fastly.net"";""199.232.114.202""]"""
184,2021-11-17T15:06:22.322Z,41.0,41.0,192.168.57.253,www.msftconnecttest.com,NOERROR,answer,218,192.168.170.131,OK,63592,53,False,38486,"[ncsi-geo.trafficmanager.net"";""v4ncsi.msedge.net"";""ncsi.4-c-0003.c-msedge.net"";""4-c-0003.c-msedge.net"";""13.107.4.52""]"""
185,2021-11-17T15:06:22.264Z,42.0,42.0,192.168.57.253,zmztyiutpioam.reda1.com.ar,NOERROR,query,42,192.168.33.104,Error,54591,53,False,59381,
186,2021-11-17T15:06:22.264Z,42.0,42.0,192.168.57.253,xdumrqorgrrtu.reda1.com.ar,NOERROR,query,42,192.168.33.104,Error,65158,53,False,4354,
187,2021-11-17T15:06:22.264Z,39.0,39.0,192.168.57.253,ijaxbjhfvu.reda1.com.ar,NOERROR,query,39,192.168.33.104,Error,62916,53,False,42340,
188,2021-11-17T15:06:22.256Z,33.0,33.0,192.168.57.253,wpad.reda1.com.ar,NOERROR,answer,129,10.4.6.204,OK,55569,53,False,7804,
189,2021-11-17T15:06:22.203Z,33.0,33.0,192.168.57.253,wpad.reda1.com.ar,NOERROR,answer,129,192.168.160.126,OK,63855,53,False,10507,
190,2021-11-17T15:06:22.185Z,30.0,30.0,192.168.57.253,id5-sync.com,NOERROR,answer,380,192.168.8.114,OK,53026,53,False,6035,"[51.75.146.200"";""141.95.3.10"";""51.89.21.31"";""51.89.20.87"";""51.89.7.205"";""51.89.42.86"";""51.195.5.232"";""54.36.109.48"";""51.89.7.202"";""51.195.5.231"";""54.36.109.47"";""51.195.5.234"";""54.36.109.186"";""141.95.34.104"";""51.89.20.86"";""51.89.21.20"";""54.36.109.183"";""141.95.34.105"";""51.195.5.38"";""51.89.7.199""]"""
191,2021-11-17T15:06:22.180Z,34.0,34.0,192.168.57.253,despe.reda1.com.ar,NOERROR,answer,84,192.168.40.145,OK,55051,53,False,33178,192.168.2.180
192,2021-11-17T15:06:22.170Z,33.0,33.0,192.168.57.253,wpad.reda1.com.ar,NOERROR,answer,129,192.168.20.7,OK,57557,53,False,7685,
193,2021-11-17T15:06:22.109Z,93.0,93.0,8.8.8.8,d3f03eb26971f366fdc2841467a65304.safeframe.googlesyndication.com,NOERROR,answer,245,192.168.57.253,OK,61234,53,False,18811,"[pagead-googlehosted.l.google.com"";""142.250.79.129""]"""
194,2021-11-17T15:06:22.108Z,82.0,82.0,192.168.57.253,d3f03eb26971f366fdc2841467a65304.safeframe.googlesyndication.com,NOERROR,answer,223,192.168.152.83,OK,62601,53,False,59992,"[pagead-googlehosted.l.google.com"";""142.250.79.129""]"""
195,2021-11-17T15:06:22.081Z,44.0,44.0,8.8.8.8,abs-0.twimg.com,NOERROR,answer,127,192.168.57.253,OK,60329,53,False,18102,"[abs-zero.twimg.com"";""104.244.43.131""]"""
196,2021-11-17T15:06:22.080Z,33.0,33.0,192.168.57.253,abs-0.twimg.com,NOERROR,answer,105,192.168.41.78,OK,57822,53,False,64970,"[abs-zero.twimg.com"";""104.244.43.131""]"""
